Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.73011,-73.86509,SAUNDERS STREET,0,1,0
40.789375,-73.84376,9 AVENUE,0,1,0
40.7694,-73.90685,Unknown,0,1,0
40.66985,-73.74325,Unknown,0,1,0
40.614964,-74.08673,Unknown,0,1,0
40.659477,-73.908134,ROCKAWAY AVENUE,0,2,0
40.855812,-73.890785,3 AVENUE,0,1,0
40.86315,-73.90907,SEDGWICK AVENUE,0,2,0
40.793816,-73.94402,Unknown,0,1,0
40.74308,-73.86607,ALSTYNE AVENUE,0,1,0
40.77603,-73.915245,27 STREET,0,1,0
40.681744,-73.937294,Unknown,0,1,0
40.60834,-73.75538,Unknown,0,1,0
40.703735,-73.95322,Unknown,0,1,0
40.834522,-73.87183,EAST 174 STREET,0,1,0
40.635582,-73.99155,13 AVENUE,0,1,0
40.885757,-73.82837,Unknown,0,1,0
40.722313,-73.838974,71 RD,0,1,0
40.740395,-73.97909,EAST 27 STREET,0,1,0
40.812077,-73.88681,COSTER STREET,0,1,0
40.62519,-73.96119,Unknown,0,1,0
40.76527,-73.90729,Unknown,0,1,0
40.684002,-73.81603,109 AVENUE,0,1,0
40.85206,-73.934784,WEST 184 STREET,0,1,0
40.82949,-73.87326,BRONX RIVER PARKWAY,0,1,0
40.644142,-73.95564,CORTELYOU ROAD,0,1,0
40.87059,-73.8362,Unknown,0,1,0
40.883766,-73.907814,Unknown,0,1,0
40.895195,-73.88012,EAST 233 STREET,0,2,0
40.762856,-73.888596,25 AVENUE,0,1,0
40.774128,-73.95086,Unknown,0,1,0
40.727097,-73.95269,MESEROLE AVENUE,0,1,0
40.640373,-73.89702,ROCKAWAY PARKWAY,0,3,0
40.669865,-73.95051,EASTERN PARKWAY,0,3,0
40.63207,-73.9186,RALPH AVE,0,1,0
40.845787,-73.8681,Unknown,0,1,0
40.719734,-73.78652,GRAND CENTRAL PKWY,0,1,0
40.59603,-73.93994,Unknown,0,1,0
40.681484,-73.84788,ROCKAWAY BOULEVARD,0,1,0
40.810738,-73.92665,Unknown,0,1,0
40.570877,-74.16984,RICHMOND AVENUE,0,4,0
40.78588,-73.94884,3 AVENUE,0,2,0
40.82574,-73.93705,Unknown,0,1,0
40.67538,-73.9082,EASTERN PARKWAY,0,2,0
40.73835,-73.997055,Unknown,0,1,0
40.653793,-73.96405,Unknown,0,1,0
40.729355,-73.86023,QUEENS BOULEVARD,0,1,0
40.749554,-74.00653,11 AVE,0,1,0
40.62455,-74.026634,Unknown,0,1,0
40.856323,-73.88389,E 189 ST,0,1,0
40.671055,-73.98815,Unknown,0,1,0
