Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
DITMAS AVENUE,,,21,0,0,1
VERNON BOULEVARD,,,21,0,0,1
FOCH BOULEVARD,,,21,0,0,1
WEST 155 STREET,,,21,0,0,1
HUNTS POINT AVENUE,,,21,0,0,1
SAINT MARKS AVENUE,,,21,0,0,1
CORTELYOU ROAD,,,21,0,0,1
WEST TREMONT AVENUE,,,21,0,0,1
78 STREET,,,21,0,0,1
VARICK STREET,,,21,0,0,1
SAINT ANNS AVENUE,,,21,0,0,1
82 STREET,,,20,0,0,1
74 STREET,,,20,0,0,1
GRAHAM AVENUE,,,20,0,0,1
EAST 93 STREET,,,20,0,0,1
BELMONT AVENUE,,,20,0,0,1
69 STREET,,,20,0,0,1
WEST 181 STREET,,,20,0,0,1
EAST 98 STREET,,,20,0,0,1
EAST 34 STREET,,,20,0,0,1
JUNCTION BOULEVARD,,,20,0,0,1
225 STREET,,,20,0,0,1
44 STREET,,,20,0,0,1
MORRIS PARK AVENUE,,,20,0,0,1
EAST 80 STREET,,,20,0,0,1
15 AVENUE,,,20,0,0,1
109 AVENUE,,,20,0,0,1
EAST 96 STREET,,,20,0,0,1
45 AVENUE,,,20,0,0,1
GREENPOINT AVENUE,,,20,0,0,1
CATON AVENUE,,,20,0,0,1
AVENUE I,,,20,0,0,1
160 STREET,,,20,0,0,1
13 AVENUE,,,20,0,0,1
EAST 169 STREET,,,20,0,0,1
BAY STREET,,,20,0,0,1
STEINWAY STREET,,,20,0,0,1
45 STREET,,,19,0,0,1
EAST 92 STREET,,,19,0,0,1
17 AVENUE,,,19,0,0,1
ROCHESTER AVENUE,,,19,0,0,1
GLENMORE AVENUE,,,19,0,0,1
HEGEMAN AVENUE,,,19,0,0,1
KISSENA BOULEVARD,,,19,0,0,1
23 AVENUE,,,19,0,0,1
WALTON AVENUE,,,19,0,0,1
BOYLAND STREET,,,19,0,0,1
DYCKMAN STREET,,,19,0,0,1
CLARKSON AVENUE,,,19,0,0,1
50 STREET,,,19,0,0,1
PUTNAM AVENUE,,,19,0,0,1
AVENUE T,,,19,0,0,1
EASTCHESTER ROAD,,,18,0,0,1
63 STREET,,,18,0,0,1
WEST 133 STREET,,,18,0,0,1
LACONIA AVENUE,,,18,0,0,1
HOWARD AVENUE,,,18,0,0,1
OGDEN AVENUE,,,18,0,0,1
LORIMER STREET,,,18,0,0,1
AVENUE N,,,18,0,0,1
KINGSTON AVENUE,,,18,0,0,1
HICKS STREET,,,18,0,0,1
HEMPSTEAD AVENUE,,,18,0,0,1
PARK PLACE,,,18,0,0,1
94 STREET,,,18,0,0,1
46 STREET,,,18,0,0,1
LEFFERTS BOULEVARD,,,18,0,0,1
EAST BURNSIDE AVENUE,,,18,0,0,1
SURF AVENUE,,,18,0,0,1
WILLOUGHBY AVENUE,,,18,0,0,1
EAST 23 STREET,,,18,0,0,1
168 STREET,,,18,0,0,1
101 AVENUE,,,18,0,0,1
EAST 144 STREET,,,18,0,0,1
EAST 170 STREET,,,18,0,0,1
89 AVENUE,,,18,0,0,1
48 STREET,,,18,0,0,1
MORGAN AVENUE,,,18,0,0,1
BELL BOULEVARD,,,18,0,0,1
CASTLE HILL AVENUE,,,17,0,0,1
HANCOCK STREET,,,17,0,0,1
NEW UTRECHT AVENUE,,,17,0,0,1
EAST 86 STREET,,,17,0,0,1
PROSPECT EXPRESSWAY EAST,,,17,0,0,1
DITMARS BOULEVARD,,,17,0,0,1
WATSON AVENUE,,,17,0,0,1
EAST 62 STREET,,,17,0,0,1
JAY STREET,,,17,0,0,1
WORTMAN AVENUE,,,17,0,0,1
62 STREET,,,17,0,0,1
WEST 96 STREET,,,17,0,0,1
MERMAID AVENUE,,,17,0,0,1
WEST 34 STREET,,,17,0,0,1
135 AVENUE,,,17,0,0,1
WEST 135 STREET,,,17,0,0,1
QUENTIN ROAD,,,17,0,0,1
RIVERDALE AVENUE,,,17,0,0,1
LINCOLN PLACE,,,17,0,0,1
EAST 172 STREET,,,17,0,0,1
WILLIAMSBRIDGE ROAD,,,17,0,0,1
38 STREET,,,17,0,0,1
43 STREET,,,17,0,0,1
19 AVENUE,,,16,0,0,1
AVENUE O,,,16,0,0,1
BRIGHTON BEACH AVENUE,,,16,0,0,1
AVENUE W,,,16,0,0,1
WILLIS AVENUE,,,16,0,0,1
HUMBOLDT STREET,,,16,0,0,1
EAST 108 STREET,,,16,0,0,1
GERRITSEN AVENUE,,,16,0,0,1
STANLEY AVENUE,,,16,0,0,1
77 STREET,,,16,0,0,1
EAST 94 STREET,,,16,0,0,1
25 AVENUE,,,16,0,0,1
FOUNTAIN AVENUE,,,16,0,0,1
GREENE AVENUE,,,16,0,0,1
47 STREET,,,16,0,0,1
EAST 59 STREET,,,16,0,0,1
ALLERTON AVENUE,,,16,0,0,1
FORT WASHINGTON AVENUE,,,16,0,0,1
SEAGIRT BOULEVARD,,,15,0,0,1
ROCKAWAY FREEWAY,,,15,0,0,1
