Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
48 STREET,40.705328,-73.951649,18,0.05,0.13,0,12
TOMPKINS AVENUE,40.675565,-73.972324,39,0.05,0.13,0,24
EAST 104 STREET,33.966667,-61.611511,9,0.05,0.13,0,6
GRAND CENTRAL PARKWAY,40.733973,-73.815653,30,0.04,0.13,0,22
1 AVENUE,40.754525,-73.964629,80,0.04,0.13,0,63
MACOMBS PLACE,40.827534,-73.936005,7,0.06,0.13,0,4
FOSTER AVENUE,40.638582,-73.937959,37,0.04,0.13,0,29
AUDUBON AVENUE,40.847545,-73.933213,13,0.05,0.13,0,8
ROOSEVELT AVENUE,40.750512,-73.871327,51,0.05,0.13,0,32
19 STREET,40.734074,-73.94385,13,0.05,0.13,0,8
WILSON AVENUE,40.696467,-73.918286,41,0.05,0.13,0,26
WEST 82 STREET,40.7833,-73.97265,6,0.1,0.13,0,2
DYCKMAN STREET,40.86417,-73.926608,19,0.07,0.13,0,8
AVENUE P,40.61102,-73.958935,37,0.04,0.13,0,27
MOTT AVENUE,40.60389,-73.753052,15,0.05,0.13,0,10
FOCH BOULEVARD,37.775757,-68.519913,21,0.05,0.13,0,14
BARTOW AVENUE,40.86818,-73.833557,12,0.05,0.13,0,7
109 AVENUE,40.686076,-73.812531,20,0.04,0.13,0,14
PARKSIDE AVENUE,40.654894,-73.961095,8,0.06,0.13,0,4
AVENUE U,40.605236,-73.937521,35,0.04,0.13,0,26
WEST END AVENUE,40.786701,-73.979453,15,0.04,0.13,0,12
SEAGIRT BOULEVARD,40.595789,-73.76047,15,0.05,0.13,0,10
WEST 34 STREET,36.225013,-65.77398,17,0.06,0.13,0,9
UNION STREET,40.711672,-73.900718,28,0.04,0.13,0,21
MACOMBS DAM BRIDGE,40.828385,-73.931741,9,0.07,0.13,0,4
ADAMS STREET,40.694154,-73.988869,9,0.07,0.13,0,4
WEST 146 STREET,40.825104,-73.945225,6,0.06,0.13,0,3
WEST 170 STREET,40.841264,-73.928802,15,0.05,0.13,0,9
134 STREET,40.691647,-73.81426,8,0.06,0.13,0,4
ROCKAWAY FREEWAY,40.59181,-73.790435,15,0.04,0.13,0,12
HEMPSTEAD AVENUE,40.712482,-73.73272,18,0.06,0.13,0,10
4 AVENUE,40.659675,-74.001854,85,0.04,0.13,0,62
