Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
BROWVALE LANE,40.767696,-73.7329,1,0.03,0.03,0,1
1 AVE,40.758275,-73.962927,3,0.03,0.03,0,3
WEXFORD TERRACE,40.71377,-73.783537,2,0.03,0.03,0,2
MYRTLE AVE,40.698586,-73.905715,2,0.03,0.03,0,2
BELT PARKWAY RAMP,40.607755,-73.971498,2,0.03,0.03,0,2
EAST 32 STREET,40.707015,-73.968243,6,0.03,0.03,0,6
SAULL STREET,40.753494,-73.82987,1,0.03,0.03,0,1
WINCHESTER BOULEVARD,40.73346,-73.735466,1,0.03,0.03,0,1
E 183 ST,40.856247,-73.89558,1,0.03,0.03,0,1
BOGART ST,40.707066,-73.93379,1,0.03,0.03,0,1
56 AVENUE,40.747993,-73.793598,6,0.03,0.03,0,6
GREYSTONE AVENUE,40.884388,-73.90759,1,0.03,0.03,0,1
SNYDER AVE,40.649634,-73.937872,2,0.03,0.03,0,2
LITTLE NECK PARKWAY,40.752536,-73.722945,11,0.03,0.03,0,11
26 STREET,40.736961,-73.944331,3,0.03,0.03,0,3
W 129 ST,40.812715,-73.949315,2,0.03,0.03,0,2
SIMONSON PL,40.633137,-74.13094,1,0.03,0.03,0,1
ASCAN AVENUE,40.718975,-73.840175,2,0.03,0.03,0,2
107 STREET,40.690303,-73.837893,4,0.03,0.03,0,4
178 PLACE,40.684097,-73.76465,1,0.03,0.03,0,1
OTIS AVE,40.739193,-73.85488,1,0.03,0.03,0,1
BENZIGER AVENUE,40.639992,-74.081065,2,0.03,0.03,0,2
WEST 190 STREET,40.859662,-73.915599,4,0.03,0.03,0,4
98 ST,40.749374,-73.867516,1,0.03,0.03,0,1
JAMAICA AVE,40.696921,-73.836201,8,0.03,0.03,0,8
CENTREVILLE AVENUE,40.673105,-73.8372,2,0.03,0.03,0,2
ROCKWOOD STREET,40.842247,-73.91403,1,0.03,0.03,0,1
DICKINSON AVENUE,40.882767,-73.8886,1,0.03,0.03,0,1
THURSBY AVENUE,40.595002,-73.795385,2,0.03,0.03,0,2
DEBEVOISE STREET,40.701637,-73.942276,1,0.03,0.03,0,1
COYLE STREET,40.587826,-73.93468,1,0.03,0.03,0,1
WEST 232 STREET,40.883204,-73.910979,3,0.03,0.03,0,3
115 STREET,40.71899,-73.835698,6,0.03,0.03,0,6
118 AVE,40.690933,-73.7322,1,0.03,0.03,0,1
91 STREET,40.711649,-73.860873,7,0.03,0.03,0,7
NASHVILLE BOULEVARD,40.690727,-73.747857,3,0.03,0.03,0,3
E 202 ST,40.87028,-73.87839,1,0.03,0.03,0,1
ELM PLACE,40.689686,-73.98439,2,0.03,0.03,0,2
STATE STREET,40.680192,-74.01753,5,0.03,0.03,0,5
UNION TPKE,40.741093,-73.727965,2,0.03,0.03,0,2
MONTAUK AVE,40.67046,-73.87703,1,0.03,0.03,0,1
SAINT MARKS PLACE,40.704955,-73.98327,4,0.03,0.03,0,4
115 ROAD,40.697722,-73.750777,2,0.03,0.03,0,2
215 STREET,40.76049,-73.767525,1,0.03,0.03,0,1
E 61 ST,40.762375,-73.964655,2,0.03,0.03,0,2
FEATHERBED LANE,40.846025,-73.917462,5,0.03,0.03,0,5
MAC DONOUGH ST,40.68137,-73.94062,1,0.03,0.03,0,1
COLONIAL ROAD,40.634737,-74.03234,3,0.03,0.03,0,3
LIVERPOOL STREET,40.690877,-73.800864,5,0.03,0.03,0,5
BAY 35 STREET,40.597149,-73.992835,2,0.03,0.03,0,2
200 STREET,40.698988,-73.754242,2,0.03,0.03,0,2
175 ST,40.709904,-73.78673,1,0.03,0.03,0,1
222 STREET,40.692434,-73.744456,7,0.03,0.03,0,7
170 ST,40.705505,-73.78885,1,0.03,0.03,0,1
EAST 223 STREET,40.883813,-73.853733,3,0.03,0.03,0,3
WEST 119 STREET,40.80731,-73.956233,2,0.03,0.03,0,2
EAST 218 STREET,40.881172,-73.857845,2,0.03,0.03,0,2
BAISLEY BLVD,40.680918,-73.773917,3,0.03,0.03,0,3
WEST 123 STREET,40.809861,-73.954498,6,0.03,0.03,0,6
267 STREET,40.7482,-73.709727,3,0.03,0.03,0,3
132 ROAD,40.675854,-73.73163,1,0.03,0.03,0,1
STUART STREET,40.598972,-73.93064,1,0.03,0.03,0,1
79 LANE,40.704525,-73.86939,1,0.03,0.03,0,1
JEROME AVE,40.86141,-73.900281,5,0.03,0.03,0,5
E HOUSTON ST,40.723582,-73.990725,2,0.03,0.03,0,2
ROSE AVENUE,40.689043,-73.914545,3,0.03,0.03,0,3
22 AVE,40.78015,-73.84602,1,0.03,0.03,0,1
MULLER AVENUE,40.620647,-74.14051,1,0.03,0.03,0,1
PENROD STREET,40.737953,-73.85109,1,0.03,0.03,0,1
WEST 111 STREET,40.798781,-73.951895,3,0.03,0.03,0,3
HUGH J GRANT CIRCLE,40.833336,-73.860374,1,0.03,0.03,0,1
MESEROLE STREET,40.707878,-73.945357,3,0.03,0.03,0,3
83 ST,40.747734,-73.882996,1,0.03,0.03,0,1
W 176 ST,40.849007,-73.91613,1,0.03,0.03,0,1
GRAND AVE,40.763266,-73.912766,6,0.03,0.03,0,6
W 145 ST,40.822235,-73.940491,2,0.03,0.03,0,2
MCGRAW AVENUE,40.834586,-73.861634,3,0.03,0.03,0,3
94 AVENUE,40.699322,-73.806125,2,0.03,0.03,0,2
REDFERN AVENUE,40.604977,-73.754425,1,0.03,0.03,0,1
THOMAS STREET,40.72624,-73.93178,1,0.03,0.03,0,1
35 AVE,40.750416,-73.89773,1,0.03,0.03,0,1
DELAWARE AVENUE,40.75815,-73.8109,1,0.03,0.03,0,1
FDR DRIVE RAMP,40.726019,-73.98633,2,0.03,0.03,0,2
BUHRE AVE,40.847374,-73.83424,1,0.03,0.03,0,1
E 199 ST,40.870743,-73.88779,1,0.03,0.03,0,1
REMSEN AVE,40.646767,-73.913252,3,0.03,0.03,0,3
W 41 ST,40.75503,-73.98664,1,0.03,0.03,0,1
GROTE STREET,20.425112,-36.941285,2,0.03,0.03,0,2
99 STREET,40.732153,-73.890601,7,0.03,0.03,0,7
JEFFERSON BOULEVARD,40.547269,-74.187085,2,0.03,0.03,0,2
WEST 238 STREET,34.070252,-61.582753,6,0.03,0.03,0,6
76 ROAD,40.716455,-73.835838,2,0.03,0.03,0,2
WEST 128 STREET,40.811132,-73.947513,2,0.03,0.03,0,2
HOOPER STREET,40.706617,-73.954795,3,0.03,0.03,0,3
WEST 75 STREET,40.780192,-73.979343,2,0.03,0.03,0,2
FREDERICK DOUGLASS BLVD,40.807577,-73.953065,3,0.03,0.03,0,3
BEACH 51 STREET,40.596455,-73.78196,1,0.03,0.03,0,1
78 AVENUE,40.710228,-73.848646,4,0.03,0.03,0,4
HORNELL LOOP,40.645344,-73.87897,1,0.03,0.03,0,1
WEED AVENUE,40.563145,-74.10787,1,0.03,0.03,0,1
AVENUE Z,36.528563,-66.564421,10,0.03,0.03,0,10
136 ST,40.70395,-73.81833,1,0.03,0.03,0,1
AVENUE B,40.687775,-73.94828,8,0.03,0.03,0,8
EDGERTON BOULEVARD,40.7168,-73.78723,1,0.03,0.03,0,1
EAST 69 STREET,40.768001,-73.96248,4,0.03,0.03,0,4
CIRCLE LOOP,40.613678,-74.07817,1,0.03,0.03,0,1
133 STREET,40.684874,-73.810375,2,0.03,0.03,0,2
108 ST,40.730428,-73.84829,3,0.03,0.03,0,3
ATKINS AVENUE,40.661479,-73.872335,2,0.03,0.03,0,2
64 ROAD,40.731219,-73.85282,3,0.03,0.03,0,3
COURT ST,40.679194,-73.997427,3,0.03,0.03,0,3
SCHENECTADY AVE,40.673295,-73.93348,3,0.03,0.03,0,3
MACON STREET,40.681446,-73.94644,1,0.03,0.03,0,1
FORLEY STREET,40.747032,-73.87937,1,0.03,0.03,0,1
BEVERLEY RD,40.645016,-73.95087,1,0.03,0.03,0,1
LYMAN PLACE,40.830414,-73.896706,1,0.03,0.03,0,1
RIDGE STREET,40.717989,-73.9837,2,0.03,0.03,0,2
21 ST,40.751683,-73.943222,2,0.03,0.03,0,2
LONG ISLAND EXPRESSWAY (CDR),40.729908,-73.911766,1,0.03,0.03,0,1
WEST 124 STREET,40.808292,-73.948828,3,0.03,0.03,0,3
NOEL ROAD,40.607865,-73.817685,2,0.03,0.03,0,2
EAST 225 STREET,40.884959,-73.85187,3,0.03,0.03,0,3
WEST 252 STREET,40.897877,-73.897,1,0.03,0.03,0,1
E 77 ST,40.775,-73.96309,1,0.03,0.03,0,1
HORTON AVENUE,40.609696,-73.75415,2,0.03,0.03,0,2
173 STREET,40.705637,-73.785579,5,0.03,0.03,0,5
BROWN STREET,40.599615,-73.939778,4,0.03,0.03,0,4
BLOSSOM AVENUE,40.751761,-73.831475,2,0.03,0.03,0,2
EDGEMERE AVENUE,40.593484,-73.774945,4,0.03,0.03,0,4
144 STREET,40.705815,-73.806141,5,0.03,0.03,0,5
BARROW STREET,40.732309,-74.00497,2,0.03,0.03,0,2
HAWTHORNE STREET,40.657658,-73.953224,1,0.03,0.03,0,1
W 36 ST,40.75168,-73.988272,2,0.03,0.03,0,2
BAY 31 STREET,40.600623,-73.993945,2,0.03,0.03,0,2
ROCHESTER AVE,40.67355,-73.927883,2,0.03,0.03,0,2
COLDEN STREET,40.75451,-73.827156,1,0.03,0.03,0,1
EAST 229 STREET,40.889305,-73.854767,6,0.03,0.03,0,6
GRISWOLD AVENUE,40.844246,-73.824104,1,0.03,0.03,0,1
201 STREET,40.723706,-73.765228,6,0.03,0.03,0,6
WYTHE AVE,40.709602,-73.96106,2,0.03,0.03,0,2
KEAP ST,40.7089,-73.95472,1,0.03,0.03,0,1
BARON BOULEVARD,40.597095,-74.18205,1,0.03,0.03,0,1
W 46 ST,40.758694,-73.98534,1,0.03,0.03,0,1
INWOOD STREET,40.682313,-73.799814,6,0.03,0.03,0,6
PINE STREET,40.669953,-73.869614,4,0.03,0.03,0,4
BURKE AVE,40.87146,-73.86826,1,0.03,0.03,0,1
BEACH 19 STREET,40.598405,-73.752811,3,0.03,0.03,0,3
GLENMORE AVE,40.675392,-73.88112,1,0.03,0.03,0,1
GROVE ST,40.69768,-73.91637,1,0.03,0.03,0,1
N 9 ST,40.71894,-73.956535,1,0.03,0.03,0,1
WEST 261 STREET,40.90967,-73.90052,1,0.03,0.03,0,1
MOTT STREET,40.716081,-73.997928,4,0.03,0.03,0,4
MANHATTAN AVE,40.715554,-73.948137,3,0.03,0.03,0,3
SEIGEL STREET,40.70447,-73.94274,1,0.03,0.03,0,1
HOME LAWN STREET,40.715445,-73.792718,6,0.03,0.03,0,6
137 AVENUE,40.672859,-73.768193,6,0.03,0.03,0,6
STAFFORD AVENUE,40.54396,-74.19184,1,0.03,0.03,0,1
EAST BAY AVENUE,40.808295,-73.887747,3,0.03,0.03,0,3
101 AVE,40.68924,-73.828514,1,0.03,0.03,0,1
REVERE AVENUE,40.822002,-73.82015,1,0.03,0.03,0,1
HORATIO STREET,40.738754,-74.0055,1,0.03,0.03,0,1
CENTRAL PARK NORTH,40.799411,-73.955329,3,0.03,0.03,0,3
W 170 ST,40.841725,-73.931485,2,0.03,0.03,0,2
WEST 51 STREET,40.764035,-73.988327,4,0.03,0.03,0,4
SCHMIDTS LANE,40.609116,-74.118875,2,0.03,0.03,0,2
RANSOM STREET,40.730602,-73.734566,1,0.03,0.03,0,1
HOE AVENUE,40.82772,-73.890775,2,0.03,0.03,0,2
LAYTON STREET,40.74459,-73.884674,1,0.03,0.03,0,1
SCHOOL ROAD,40.60503,-74.06574,1,0.03,0.03,0,1
93 ST,40.74872,-73.8737,1,0.03,0.03,0,1
NECKAR AVENUE,40.60668,-74.085976,1,0.03,0.03,0,1
15 STREET,40.666975,-73.992238,5,0.03,0.03,0,5
176 STREET,40.686833,-73.779195,2,0.03,0.03,0,2
WASHINGTON SQUARE NORTH,40.731407,-73.99698,1,0.03,0.03,0,1
SANDFORD STREET,40.693306,-73.95311,1,0.03,0.03,0,1
ALSTYNE AVENUE,40.743325,-73.864413,2,0.03,0.03,0,2
FOWLER AVENUE,40.75194,-73.832306,1,0.03,0.03,0,1
188 ST,40.71962,-73.775837,2,0.03,0.03,0,2
JEROME ROAD,40.595703,-74.084915,1,0.03,0.03,0,1
MOHN PLACE,40.60599,-74.103455,1,0.03,0.03,0,1
65 ROAD,40.727713,-73.85733,2,0.03,0.03,0,2
EAST 162 STREET,40.825003,-73.91414,2,0.03,0.03,0,2
BROOKVILLE BLVD,40.675255,-73.73206,1,0.03,0.03,0,1
SAINT LAWRENCE AVENUE,40.825311,-73.86579,2,0.03,0.03,0,2
EAST 82 STREET,40.727594,-73.938713,6,0.03,0.03,0,6
130 AVENUE,32.538335,-59.022626,5,0.03,0.03,0,5
163 STREET,40.73309,-73.800525,4,0.03,0.03,0,4
BEDFORD PARK BOULEVARD,40.866047,-73.882744,1,0.03,0.03,0,1
149 PLACE,40.762055,-73.81465,2,0.03,0.03,0,2
BERRIMAN STREET,40.67173,-73.87926,1,0.03,0.03,0,1
PRESCOTT AVENUE,40.57494,-74.10527,1,0.03,0.03,0,1
VAN SINDEREN AVE,40.677113,-73.90336,1,0.03,0.03,0,1
SCHOLES STREET,40.710183,-73.935046,8,0.03,0.03,0,8
161 STREET,40.721632,-73.803815,2,0.03,0.03,0,2
LITTLE NECK PKWY,40.734331,-73.71259,2,0.03,0.03,0,2
BANCROFT AVENUE,40.57713,-74.111,4,0.03,0.03,0,4
BRONXDALE AVENUE,40.848012,-73.86236,7,0.03,0.03,0,7
VAN CORTLANDT AVE E,40.876865,-73.87973,1,0.03,0.03,0,1
ANTHONY AVENUE,40.850324,-73.902802,4,0.03,0.03,0,4
PEARSALL STREET,0.0,0.0,1,0.03,0.03,0,1
196 STREET,40.707603,-73.7624,6,0.03,0.03,0,6
NEW DORP PLAZA,40.573744,-74.117263,2,0.03,0.03,0,2
ASHFORD ST,40.66278,-73.88085,1,0.03,0.03,0,1
ALCOTT PL,40.87146,-73.830536,1,0.03,0.03,0,1
AGUILAR AVENUE,40.72744,-73.81102,1,0.03,0.03,0,1
FAHY AVENUE,40.62026,-74.16774,1,0.03,0.03,0,1
COLUMBIA HEIGHTS,40.698357,-73.99631,1,0.03,0.03,0,1
WEST 20 STREET,40.686672,-73.993533,6,0.03,0.03,0,6
MURRAY STREET,40.756473,-73.852989,5,0.03,0.03,0,5
NEPTUNE AVE,40.578384,-73.990155,3,0.03,0.03,0,3
BARCLAY STREET,40.714478,-74.01354,1,0.03,0.03,0,1
11 AVE,40.726185,-74.001245,4,0.03,0.03,0,4
3 ST,40.6728,-73.983284,1,0.03,0.03,0,1
ERIK PL,40.633163,-74.01639,1,0.03,0.03,0,1
HERKIMER PLACE,40.678963,-73.94965,1,0.03,0.03,0,1
FAR ROCKAWAY BLVD,40.598015,-73.76546,1,0.03,0.03,0,1
VERONICA PLACE,40.647995,-73.952774,1,0.03,0.03,0,1
WEST 53 STREET,40.763766,-73.983798,3,0.03,0.03,0,3
69 AVENUE,40.721559,-73.837047,7,0.03,0.03,0,7
SPRINGFIELD BLVD,40.710791,-73.737144,2,0.03,0.03,0,2
NEW UTRECHT AVE,40.620655,-73.99857,2,0.03,0.03,0,2
78 AVE,40.70455,-73.87335,1,0.03,0.03,0,1
W 233 ST,40.880108,-73.90227,1,0.03,0.03,0,1
GERRITSEN AVE,40.600413,-73.93358,2,0.03,0.03,0,2
GREENWICH AVENUE,32.589781,-59.201203,5,0.03,0.03,0,5
RIVERDALE AVE,40.663643,-73.89083,1,0.03,0.03,0,1
57 ROAD,40.74634,-73.829185,1,0.03,0.03,0,1
203 STREET,40.703317,-73.753257,2,0.03,0.03,0,2
ELDRIDGE STREET,40.720764,-73.99063,1,0.03,0.03,0,1
LOUIS STREET,40.630318,-74.08683,1,0.03,0.03,0,1
EAST 19 STREET,40.678756,-73.973817,2,0.03,0.03,0,2
IONIA AVENUE,40.538532,-74.19224,1,0.03,0.03,0,1
RIVERSIDE BOULEVARD,40.778239,-73.988752,4,0.03,0.03,0,4
BRONX PARK SOUTH,40.846913,-73.881533,2,0.03,0.03,0,2
STARR AVENUE,40.73687,-73.937505,2,0.03,0.03,0,2
WEST 90 STREET,40.79054,-73.97386,2,0.03,0.03,0,2
216 STREET,40.720046,-73.744477,3,0.03,0.03,0,3
48 ST,40.738177,-73.917792,2,0.03,0.03,0,2
WATKINS STREET,40.670094,-73.907974,1,0.03,0.03,0,1
WILLIAMSBURG BRIDGE INNER ROADWA,40.714314,-73.97481,1,0.03,0.03,0,1
VAN DYKE STREET,40.674717,-74.01332,1,0.03,0.03,0,1
GOLD ST,40.694823,-73.983403,2,0.03,0.03,0,2
WYTHE PLACE,40.840297,-73.91435,3,0.03,0.03,0,3
SAYRES AVENUE,40.694126,-73.779562,6,0.03,0.03,0,6
WEST 93 STREET,40.791129,-73.969412,3,0.03,0.03,0,3
BAY 50 STREET,40.585205,-73.98734,2,0.03,0.03,0,2
OSGOOD AVENUE,40.618403,-74.082985,3,0.03,0.03,0,3
VERONA STREET,40.67897,-74.00831,1,0.03,0.03,0,1
BLONDELL AVENUE,40.841526,-73.84189,1,0.03,0.03,0,1
80 ST,40.695037,-73.921071,3,0.03,0.03,0,3
SURREY PLACE,40.725956,-73.788315,1,0.03,0.03,0,1
18 AVE,40.695017,-73.90485,2,0.03,0.03,0,2
WILSON ST,40.70535,-73.96249,1,0.03,0.03,0,1
ALTON PLACE,40.62469,-73.93634,1,0.03,0.03,0,1
LEXINGTON AVE,40.763314,-73.967386,5,0.03,0.03,0,5
CALHOUN AVENUE,40.822789,-73.822327,3,0.03,0.03,0,3
RIVERSIDE DRIVE WEST,40.836407,-73.94852,1,0.03,0.03,0,1
BAY AVENUE,40.61874,-73.957275,1,0.03,0.03,0,1
KERMIT PLACE,40.648823,-73.971565,1,0.03,0.03,0,1
40 AVENUE,40.758463,-73.870155,5,0.03,0.03,0,5
FLATBUSH AVE,40.640492,-73.947936,8,0.03,0.03,0,8
W 31 ST,40.691114,-73.995578,3,0.03,0.03,0,3
WILSON AVE,40.758503,-73.89978,3,0.03,0.03,0,3
BALFOUR PLACE,40.664173,-73.9449,1,0.03,0.03,0,1
STATION ROAD,40.761342,-73.79643,2,0.03,0.03,0,2
EAST 9 STREET,40.726885,-73.981782,3,0.03,0.03,0,3
219 STREET,40.69684,-73.741494,5,0.03,0.03,0,5
KEEGANS LANE,40.553093,-74.142334,1,0.03,0.03,0,1
FAYETTE STREET,40.69987,-73.94043,1,0.03,0.03,0,1
RICHARDSON AVENUE,40.901485,-73.853313,2,0.03,0.03,0,2
ASTORIA BLVD N,40.768887,-73.906906,1,0.03,0.03,0,1
BRIGHTON AVENUE,40.636246,-74.08911,1,0.03,0.03,0,1
GRASMERE AVENUE,40.604084,-74.08521,1,0.03,0.03,0,1
BAILEY AVE,40.881198,-73.899035,2,0.03,0.03,0,2
230 PLACE,40.661958,-73.748323,3,0.03,0.03,0,3
GUYON AVENUE,40.5648,-74.128023,3,0.03,0.03,0,3
119 ROAD,40.67865,-73.791466,1,0.03,0.03,0,1
179 ST,40.710583,-73.783554,1,0.03,0.03,0,1
ORIENTAL BOULEVARD,40.57688,-73.95288,1,0.03,0.03,0,1
STANWIX STREET,40.699945,-73.93439,3,0.03,0.03,0,3
236 STREET,40.684322,-73.7296,1,0.03,0.03,0,1
MEISNER AVENUE,40.582756,-74.13041,1,0.03,0.03,0,1
EDGEGROVE AVENUE,40.537865,-74.19192,1,0.03,0.03,0,1
BEACH 108 STREET,40.58281,-73.83031,3,0.03,0.03,0,3
45 AVE,40.747712,-73.84553,2,0.03,0.03,0,2
EAST 127 STREET,40.80453,-73.933773,2,0.03,0.03,0,2
MANILLA STREET,40.737427,-73.883865,1,0.03,0.03,0,1
SOUTH PORTLAND AVENUE,40.688004,-73.97478,2,0.03,0.03,0,2
33 AVENUE,40.766496,-73.848085,4,0.03,0.03,0,4
AUSTIN ST,40.72096,-73.84697,1,0.03,0.03,0,1
201 PLACE,40.69483,-73.750854,1,0.03,0.03,0,1
9 AVE,40.797127,-73.964808,3,0.03,0.03,0,3
CLOVE LAKE PLACE,40.62619,-74.11968,1,0.03,0.03,0,1
WARWICK STREET,40.672124,-73.885529,6,0.03,0.03,0,6
113 AVE,40.703913,-73.739928,2,0.03,0.03,0,2
WEST 98 STREET,40.796356,-73.971777,3,0.03,0.03,0,3
AVERY AVENUE,40.752316,-73.8324,1,0.03,0.03,0,1
79 AVENUE,40.720955,-73.80935,1,0.03,0.03,0,1
PORT RICHMOND AVE,40.636982,-74.134094,1,0.03,0.03,0,1
BEACH 35 STREET,40.596031,-73.767675,2,0.03,0.03,0,2
194 STREET,40.706782,-73.763889,3,0.03,0.03,0,3
PATTERSON AVENUE,40.692218,-73.975163,2,0.03,0.03,0,2
BAY 23 STREET,40.601864,-74.00232,1,0.03,0.03,0,1
DEKALB AVE,40.690371,-73.966355,3,0.03,0.03,0,3
WEST BRIGHTON AVENUE,40.576563,-73.971297,2,0.03,0.03,0,2
CROSS BAY BLVD,40.665908,-73.841573,2,0.03,0.03,0,2
SPOFFORD AVENUE,40.814549,-73.886185,2,0.03,0.03,0,2
BRIGHAM STREET,40.592407,-73.93361,1,0.03,0.03,0,1
CENTRE MALL,40.67448,-74.00202,1,0.03,0.03,0,1
70 AVE,40.71731,-73.849266,1,0.03,0.03,0,1
CONWAY STREET,20.339388,-36.952235,2,0.03,0.03,0,2
OSBORN STREET,40.662599,-73.907007,3,0.03,0.03,0,3
QUEENS PLZ N,40.752037,-73.94272,1,0.03,0.03,0,1
WALTON AVE,40.836437,-73.91841,1,0.03,0.03,0,1
GIVAN AVENUE,40.875805,-73.841739,3,0.03,0.03,0,3
129 STREET,40.707883,-73.822373,5,0.03,0.03,0,5
LAGUARDIA PLACE,40.728065,-73.99896,1,0.03,0.03,0,1
BEECH AVENUE,40.757515,-73.81857,1,0.03,0.03,0,1
BOND STREET,40.685006,-73.986142,4,0.03,0.03,0,4
BARNES AVE,40.862507,-73.8625,2,0.03,0.03,0,2
ARLINGTON TERRACE,40.690987,-73.80087,1,0.03,0.03,0,1
GREENLEAF AVENUE,40.629345,-74.127205,1,0.03,0.03,0,1
THURSTON STREET,40.67246,-73.7595,1,0.03,0.03,0,1
WOODHAVEN BLVD,40.700527,-73.855383,4,0.03,0.03,0,4
ST NICHOLAS AVE,40.828292,-73.942607,4,0.03,0.03,0,4
EAST 242 STREET,40.905876,-73.84994,1,0.03,0.03,0,1
WEST 150 STREET,40.827075,-73.942156,10,0.03,0.03,0,10
31 ST,40.764055,-73.923598,2,0.03,0.03,0,2
184 STREET,40.705248,-73.776463,5,0.03,0.03,0,5
38 ST,40.755505,-73.922905,1,0.03,0.03,0,1
FARMERS BLVD,40.678837,-73.76806,2,0.03,0.03,0,2
KING STREET,40.67881,-74.0123,2,0.03,0.03,0,2
SNEDIKER AVE,40.65753,-73.897964,1,0.03,0.03,0,1
CADMAN PLZ W,40.700768,-73.99094,1,0.03,0.03,0,1
HUGHES AVENUE,40.84893,-73.890465,1,0.03,0.03,0,1
111 AVE,40.680252,-73.82222,1,0.03,0.03,0,1
WEST 184 STREET,40.851285,-73.932917,2,0.03,0.03,0,2
263 STREET,40.74688,-73.70896,2,0.03,0.03,0,2
WATERBURY AVENUE,0.0,0.0,1,0.03,0.03,0,1
HARWAY AVENUE,40.590545,-73.988908,4,0.03,0.03,0,4
VAN BUREN STREET,40.692574,-73.926405,2,0.03,0.03,0,2
W 121 ST,40.80761,-73.95304,1,0.03,0.03,0,1
ASCH LOOP,40.870396,-73.8259,1,0.03,0.03,0,1
SEAVIEW COURT,40.630943,-73.889244,1,0.03,0.03,0,1
CALYER STREET,40.728079,-73.953547,4,0.03,0.03,0,4
EAST 73 STREET,40.722695,-73.944945,3,0.03,0.03,0,3
146 PLACE,40.786446,-73.81924,1,0.03,0.03,0,1
ZEBRA PLACE,40.55247,-74.21878,1,0.03,0.03,0,1
DEAN AVENUE,40.83554,-73.818054,1,0.03,0.03,0,1
82 PLACE,40.722378,-73.873764,1,0.03,0.03,0,1
WRIGHT STREET,40.62714,-74.078303,2,0.03,0.03,0,2
BAYSIDE AVENUE,40.771524,-73.815265,2,0.03,0.03,0,2
EUNICE PLACE,40.625515,-74.15226,1,0.03,0.03,0,1
EAST 81 STREET,40.729061,-73.941298,9,0.03,0.03,0,9
208 STREET,40.734139,-73.76304,4,0.03,0.03,0,4
136 AVENUE,40.670369,-73.765174,4,0.03,0.03,0,4
NEW ENGLAND THRUWAY,40.877035,-73.827457,5,0.03,0.03,0,5
STRATTON STREET,40.768936,-73.834335,1,0.03,0.03,0,1
GOUVERNEUR AVENUE,40.88261,-73.89257,1,0.03,0.03,0,1
GOWANUS RAMP,40.67617,-74.00178,2,0.03,0.03,0,2
WAKEMAN PLACE,40.639447,-74.026965,2,0.03,0.03,0,2
GARFIELD AVENUE,40.736288,-73.89659,2,0.03,0.03,0,2
GOWER STREET,40.609573,-74.12391,1,0.03,0.03,0,1
E GUN HILL RD,40.871753,-73.850905,4,0.03,0.03,0,4
HEMPSTEAD AVE,40.71122,-73.728264,1,0.03,0.03,0,1
GOBLE PLACE,40.843822,-73.916565,1,0.03,0.03,0,1
DIXON AVENUE,40.628185,-74.14792,1,0.03,0.03,0,1
SIMPSON STREET,27.136747,-49.328013,3,0.03,0.03,0,3
CARLTON AVE,40.685028,-73.97124,1,0.03,0.03,0,1
110 ROAD,40.698448,-73.768135,2,0.03,0.03,0,2
40 RD,40.758366,-73.831535,1,0.03,0.03,0,1
MC KEEVER PLACE,40.66336,-73.95975,1,0.03,0.03,0,1
ELLWOOD STREET,40.860632,-73.928736,5,0.03,0.03,0,5
NEWTOWN AVENUE,40.767647,-73.92078,1,0.03,0.03,0,1
156 AVENUE,40.664295,-73.83938,1,0.03,0.03,0,1
ROCKLAND AVE,40.585665,-74.139775,2,0.03,0.03,0,2
MANN AVENUE,40.609358,-74.133193,2,0.03,0.03,0,2
THAYER PLACE,40.554417,-74.13047,1,0.03,0.03,0,1
BEDELL STREET,40.675207,-73.766062,2,0.03,0.03,0,2
TAFT AVENUE,40.640614,-74.08703,1,0.03,0.03,0,1
OCEANVIEW AVENUE,40.579477,-73.961267,3,0.03,0.03,0,3
GREENE STREET,40.720375,-74.003265,1,0.03,0.03,0,1
EAST 5 STREET,40.631607,-73.973285,4,0.03,0.03,0,4
RAMAPO AVENUE,40.541298,-74.20424,1,0.03,0.03,0,1
WEST FINGERBOARD ROAD,40.601707,-74.08025,1,0.03,0.03,0,1
WALLABOUT ST,40.700108,-73.95382,1,0.03,0.03,0,1
W 162 ST,40.837177,-73.9426,1,0.03,0.03,0,1
60 ST,40.618053,-73.98068,1,0.03,0.03,0,1
EAST 133 STREET,40.801126,-73.914307,3,0.03,0.03,0,3
QUAIL LANE,40.5325,-74.222145,1,0.03,0.03,0,1
KENNEDY STREET,40.770153,-73.779076,4,0.03,0.03,0,4
PROSPECT AVE,40.747378,-73.942505,2,0.03,0.03,0,2
WEST 218 STREET,40.872112,-73.91628,1,0.03,0.03,0,1
61 ST,40.63757,-74.014565,1,0.03,0.03,0,1
112 ROAD,40.704208,-73.743822,2,0.03,0.03,0,2
SENATOR STREET,40.634964,-74.0204,1,0.03,0.03,0,1
LEAVITT STREET,40.76787,-73.82845,1,0.03,0.03,0,1
CHAMBERS ST,40.714928,-74.00794,1,0.03,0.03,0,1
HARTFORD STREET,40.543346,-74.14371,1,0.03,0.03,0,1
10 AVE,40.746707,-73.978026,3,0.03,0.03,0,3
268 STREET,40.741722,-73.702042,2,0.03,0.03,0,2
MORRIS PARK AVE,40.845059,-73.86565,2,0.03,0.03,0,2
