Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
W 124 ST,,,2,0,0,1
120 AVE,,,2,0,0,1
COVERT ST,,,2,0,0,1
KENMARE ST,,,2,0,0,1
SUMNER PL,,,2,0,0,1
WEIRFIELD ST,,,2,0,0,1
BELMONT AVE,,,2,0,0,1
PACIFIC ST,,,2,0,0,1
E 53 ST,,,2,0,0,1
ATKINS AVE,,,2,0,0,1
E 34 ST,,,2,0,0,1
SHORE RD,,,2,0,0,1
111 ST,,,2,0,0,1
40 RD,,,2,0,0,1
JACKSON AVE,,,2,0,0,1
ROCKAWAY BEACH BLVD,,,2,0,0,1
E 214 ST,,,2,0,0,1
BROOKLYN BRIDGE,,,2,0,0,1
107 AVE,,,2,0,0,1
124 ST,,,2,0,0,1
WOODSIDE AVE,,,2,0,0,1
W 25 ST,,,2,0,0,1
AVENUE T,,,2,0,0,1
E 18 ST,,,2,0,0,1
FORT HAMILTON PKWY,,,2,0,0,1
70 ST,,,2,0,0,1
BAY RIDGE AVE,,,2,0,0,1
HALLECK ST,,,2,0,0,1
ROCKLAND AVE,,,2,0,0,1
E 52 ST,,,2,0,0,1
E 189 ST,,,2,0,0,1
MALCOLM X BLVD,,,2,0,0,1
30 AVE,,,2,0,0,1
GRAHAM AVE,,,2,0,0,1
58 AVE,,,2,0,0,1
ROGERS AVE,,,2,0,0,1
E 178 ST,,,2,0,0,1
W 187 ST,,,2,0,0,1
HARLEM RIVER DRIVE RAMP,,,2,0,0,1
27 ST,,,2,0,0,1
NEW LOTS AVE,,,2,0,0,1
112 RD,,,2,0,0,1
E 29 ST,,,2,0,0,1
W 46 ST,,,2,0,0,1
109 AVENUE,,,2,0,0,1
E 105 ST,,,2,0,0,1
CHURCH AVENUE,,,2,0,0,1
HEMPSTEAD AVE,,,2,0,0,1
WILLIAMSBURG ST W,,,2,0,0,1
144 PL,,,2,0,0,1
ST ANNS AVE,,,2,0,0,1
BOWERY,,,2,0,0,1
E 49 ST,,,2,0,0,1
E 102 ST,,,2,0,0,1
WYTHE AVE,,,2,0,0,1
LEWIS AVE,,,2,0,0,1
43 ST,,,2,0,0,1
VARICK ST,,,2,0,0,1
ALABAMA AVE,,,2,0,0,1
E 172 ST,,,2,0,0,1
101 AVE,,,2,0,0,1
HUGUENOT AVE,,,2,0,0,1
MONTROSE AVE,,,2,0,0,1
154 ST,,,2,0,0,1
