Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.747875,-73.989426,Unknown,2,0,0,0.42,2026-03-24T00:00:00.000
40.674397,-73.89651,LIBERTY AVE,2,0,0,0.42,2026-04-07T00:00:00.000
40.762966,-73.97397,W 57 ST,2,0,0,0.42,2026-03-26T00:00:00.000
40.758533,-73.988846,W 44 ST,2,0,0,0.42,2026-03-27T00:00:00.000
40.63682,-73.902176,AVENUE K,2,0,0,0.42,2026-03-28T00:00:00.000
40.832157,-73.93563,Unknown,2,0,0,0.42,2026-04-05T00:00:00.000
40.863785,-73.91699,9 AVE,2,0,0,0.42,2026-04-02T00:00:00.000
40.608963,-73.970345,Unknown,2,0,0,0.42,2026-04-08T00:00:00.000
40.74702,-74.004654,W 22 ST,2,0,0,0.42,2026-03-28T00:00:00.000
40.648777,-73.95019,Unknown,2,0,0,0.42,2026-04-08T00:00:00.000
40.757233,-73.98979,W 42 ST,2,0,0,0.42,2026-04-08T00:00:00.000
40.687492,-73.877884,JAMAICA AVE,2,0,0,0.42,2026-03-27T00:00:00.000
40.69078,-73.72727,CROSS ISLAND PKWY,2,0,0,0.42,2026-04-02T00:00:00.000
40.839268,-73.90382,PARK AVE,2,0,0,0.42,2026-04-04T00:00:00.000
40.60686,-74.0771,HYLAN BOULEVARD,2,0,0,0.42,2026-03-30T00:00:00.000
40.759624,-73.995476,W 42 ST,2,0,0,0.42,2026-04-14T00:00:00.000
40.70206,-73.992615,OLD FULTON ST,2,0,0,0.42,2026-04-10T00:00:00.000
40.86241,-73.92249,NAGLE AVE,2,0,0,0.42,2026-04-12T00:00:00.000
40.861866,-73.91274,MAJOR DEEGAN EXPY,2,0,0,0.42,2026-03-31T00:00:00.000
40.81359,-73.93143,EXTERIOR STREET,2,0,0,0.42,2026-04-09T00:00:00.000
40.721146,-73.94282,N HENRY ST,2,0,0,0.42,2026-04-10T00:00:00.000
40.761486,-73.9606,E 62 ST,2,0,0,0.42,2026-04-06T00:00:00.000
40.75843,-73.99263,W 42 ST,2,0,0,0.42,2026-04-09T00:00:00.000
40.865364,-73.87042,BRONX PARK E,2,0,0,0.42,2026-03-25T00:00:00.000
40.756,-73.863396,34 AVE,2,0,0,0.42,2026-04-07T00:00:00.000
40.726406,-73.83808,69 ROAD,2,0,0,0.42,2026-04-03T00:00:00.000
40.816555,-73.91954,E 149 ST,2,0,0,0.42,2026-04-03T00:00:00.000
40.69599,-73.983215,GOLD ST,2,0,0,0.42,2026-03-28T00:00:00.000
40.771782,-73.979195,CENTRAL PARK W,2,0,0,0.42,2026-04-13T00:00:00.000
40.696033,-73.98453,TILLARY ST,2,0,0,0.42,2026-04-02T00:00:00.000
40.81654,-73.88262,Unknown,2,0,0,0.42,2026-04-01T00:00:00.000
40.59415,-74.08658,HYLAN BLVD,2,0,0,0.42,2026-03-29T00:00:00.000
40.71843,-74.000534,CANAL ST,2,0,0,0.42,2026-03-31T00:00:00.000
40.758877,-73.98357,Unknown,2,0,0,0.42,2026-04-05T00:00:00.000
40.673595,-73.8448,Unknown,2,0,0,0.42,2026-04-09T00:00:00.000
40.750904,-73.99812,W 30 ST,2,0,0,0.42,2026-04-03T00:00:00.000
40.761543,-73.866714,31 AVENUE,2,0,0,0.42,2026-04-13T00:00:00.000
40.844753,-73.92478,CROSS BRONX EXPY,2,0,0,0.42,2026-04-08T00:00:00.000
40.66169,-73.961426,FLATBUSH AVE,2,0,0,0.42,2026-04-13T00:00:00.000
40.84519,-73.9112,CROSS BRONX EXPY,2,0,0,0.42,2026-04-13T00:00:00.000
40.755234,-73.94124,21 ST,2,0,0,0.42,2026-04-12T00:00:00.000
40.66306,-73.99903,Unknown,2,0,0,0.42,2026-03-26T00:00:00.000
40.602245,-73.75415,BEACH 21 ST,2,0,0,0.42,2026-04-03T00:00:00.000
40.761234,-73.96388,2 AVE,2,0,0,0.42,2026-04-10T00:00:00.000
40.77031,-73.919,30 ST,2,0,0,0.42,2026-03-29T00:00:00.000
40.68794,-73.78963,LINDEN BLVD,2,0,0,0.42,2026-04-10T00:00:00.000
40.69832,-73.962265,BROOKLYN QUEENS EXPRESSWAY,2,0,0,0.42,2026-03-23T00:00:00.000
40.730286,-73.85851,98 ST,2,0,0,0.42,2026-04-13T00:00:00.000
40.851437,-73.93508,BROADWAY,2,0,0,0.42,2026-03-29T00:00:00.000
40.7224,-73.991646,CHRYSTIE ST,2,0,0,0.42,2026-04-02T00:00:00.000
40.78781,-73.82341,WHITESTONE EXPRESSWAY,2,0,0,0.42,2026-03-28T00:00:00.000
40.687885,-73.97835,FULTON ST,2,0,0,0.42,2026-04-05T00:00:00.000
40.85713,-73.88079,SOUTHERN BLVD,2,0,0,0.42,2026-04-13T00:00:00.000
40.696213,-73.97528,BROOKLYN QUEENS EXPRESSWAY,2,0,0,0.42,2026-04-13T00:00:00.000
40.719902,-73.785,GRAND CENTRAL PARKWAY,2,0,0,0.42,2026-04-13T00:00:00.000
40.75987,-73.77115,NORTHERN BLVD,2,0,0,0.42,2026-04-08T00:00:00.000
40.73154,-73.81112,Unknown,2,0,0,0.42,2026-04-11T00:00:00.000
40.59455,-73.997574,BELT PARKWAY,2,0,0,0.42,2026-04-07T00:00:00.000
40.698544,-73.96236,BROOKLYN QUEENS EXPRESSWAY,2,0,0,0.42,2026-03-26T00:00:00.000
40.760536,-73.95835,E 62 ST,2,0,0,0.42,2026-04-09T00:00:00.000
40.687508,-73.91464,WEIRFIELD ST,2,0,0,0.42,2026-04-14T00:00:00.000
40.7028,-73.91364,BLEECKER ST,2,0,0,0.42,2026-04-14T00:00:00.000
40.640644,-73.743385,BROOKVILLE BOULEVARD,2,0,0,0.42,2026-04-13T00:00:00.000
40.51634,-74.23283,PAGE AVE,2,0,0,0.42,2026-04-11T00:00:00.000
40.665955,-73.75796,BELT PKWY,2,0,0,0.42,2026-04-09T00:00:00.000
40.753086,-73.72211,GRAND CENTRAL PARKWAY,2,0,0,0.42,2026-03-30T00:00:00.000
40.85638,-73.82631,BRUCKNER EXPRESSWAY,2,0,0,0.42,2026-04-05T00:00:00.000
40.829163,-73.93726,W 155 ST,2,0,0,0.42,2026-04-14T00:00:00.000
40.584816,-73.95271,BELT PARKWAY,2,0,0,0.42,2026-04-02T00:00:00.000
40.665417,-73.965355,Unknown,2,0,0,0.42,2026-04-11T00:00:00.000
40.694496,-73.91481,WOODBINE ST,2,0,0,0.42,2026-03-30T00:00:00.000
40.70077,-73.81018,144 PL,2,0,0,0.42,2026-04-12T00:00:00.000
