Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.764393,-73.787600,35 AVENUE,0,1,0
40.667168,-73.934060,SCHENECTADY AVE,0,1,0
40.674313,-73.950080,PROSPECT PL,0,1,0
40.836796,-73.919480,GERARD AVE,0,1,0
40.767956,-73.778336,35 AVE,0,1,0
40.678787,-73.844250,107 AVE,0,1,0
40.614570,-74.034080,Unknown,0,1,0
40.640236,-73.905975,REMSEN AVE,0,3,0
40.776016,-73.784410,CLEARVIEW EXPRESSWAY,0,1,0
40.653200,-74.005580,4 AVE,0,1,0
40.717354,-73.798030,168 STREET,0,1,0
40.654400,-73.920430,LINDEN BLVD,0,2,0
40.839860,-73.888140,WATERLOO PL,0,1,0
40.886116,-73.842660,Unknown,0,1,0
40.904430,-73.878265,MAJOR DEEGAN EXPRESSWAY,0,1,0
40.816190,-73.910164,Unknown,0,1,0
40.656300,-73.922920,Unknown,0,1,0
40.886560,-73.858826,Unknown,0,1,0
40.704185,-73.781710,104 AVE,0,1,0
40.760822,-73.998314,11 AVE,0,1,0
40.755770,-73.975400,Unknown,0,1,0
40.698387,-73.786900,MERRICK BLVD,0,1,0
40.833057,-73.841900,Unknown,0,1,0
40.641430,-74.020970,3 AVE,0,1,0
40.712616,-73.969510,WILLIAMSBURG BRIDGE OUTER ROADWA,0,1,0
40.764280,-73.973015,5 AVE,0,1,0
40.678116,-73.907860,FULTON ST,0,1,0
40.581615,-73.851230,BEACH 129 ST,0,1,0
40.838520,-73.926186,OGDEN AVE,0,1,0
40.697918,-73.920820,WILSON AVE,0,1,0
40.823265,-73.938230,Unknown,0,1,0
40.838017,-73.904510,E 171 ST,0,1,0
40.772156,-73.945410,FDR DRIVE,0,1,0
40.879640,-73.847780,E 221 ST,0,1,0
40.726960,-73.909320,Unknown,0,1,0
40.768740,-73.908810,GRAND CENTRAL PKWY,0,2,0
40.670242,-73.907000,MOTHER GASTON BLVD,0,3,0
40.814247,-73.913360,Unknown,0,1,0
40.679110,-73.880615,HIGHLAND PL,0,1,0
40.748060,-73.868880,Unknown,0,1,0
40.827843,-73.925060,Unknown,0,1,0
40.670460,-73.877030,MONTAUK AVE,0,1,0
40.714622,-73.901160,ELIOT AVE,0,1,0
40.808952,-73.885860,Unknown,0,1,0
40.584816,-73.952710,BELT PARKWAY,0,2,0
40.720947,-73.982710,Unknown,0,1,0
40.758873,-73.820640,PARSONS BLVD,0,1,0
40.845642,-73.897705,E 176 ST,0,1,0
40.745922,-73.986400,E 30 ST,0,1,0
40.585625,-73.954860,SHORE PKWY,0,1,0
40.770320,-73.902470,46 ST,0,1,0
40.867860,-73.841225,E GUN HILL RD,0,1,0
40.831000,-73.826515,E TREMONT AVE,0,1,0
