Link_ID,Record_ID,Street_Segment_Name,Borough,Owner,Transcom_ID,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Code,Segment_Status_Label,Speed_Category,Point_Count,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Mid_Latitude,Mid_Longitude,Link_Points
4620314,345,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL,Bronx,NYC_DOT_LIC,4620314,14.91,285.0,2017-05-05T10:26:49.000,0,Normal,Heavy congestion,13,40.855260,-73.918591,40.844511,-73.920000,40.844950,-73.926961,"40.855260,-73.918591 40.852660,-73.920850 40.850040,-73.923270 40.847370,-73.925410 40.846080,-73.926381 40.845340,-73.926841 40.844950,-73.926961 40.844670,-73.926850 40.844540,-73.926680 40.844370,-73.926400 40.844290,-73.926050 40.844351,-73.925680 40.844511,-73.920000"
4616257,148,BQE N ATLANTIC AVENUE - LEONARD STREET,Brooklyn,NYC_DOT_LIC,4616257,0.0,0.0,2017-04-27T14:07:03.000,-101,No recent speed status,Severe congestion,12,40.691530,-73.999110,40.700790,-73.994881,40.697371,-73.997410,"40.691530,-73.999110 40.692261,-73.999370 40.692891,-73.999370 40.693341,-73.999250 40.694060,-73.998980 40.695000,-73.998530 40.697371,-73.997410 40.699431,-73.996420 40.699770,-73.996200 40.700141,-73.995840 40.700450,-73.995421 40.700790,-73.994881"
4616235,153,BQE N LEONARD STREET - 46TH STREET,Brooklyn,NYC_DOT_LIC,4616235,29.83,234.0,2017-05-05T10:26:51.000,0,Normal,Moderate traffic,12,40.691530,-73.999110,40.700790,-73.994881,40.697371,-73.997410,"40.691530,-73.999110 40.692261,-73.999370 40.692891,-73.999370 40.693341,-73.999250 40.694060,-73.998980 40.695000,-73.998530 40.697371,-73.997410 40.699431,-73.996420 40.699770,-73.996200 40.700141,-73.995840 40.700450,-73.995421 40.700790,-73.994881"
4616229,154,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET,Brooklyn,NYC_DOT_LIC,4616229,42.25,164.0,2017-05-05T10:26:51.000,0,Normal,Free flow,12,40.675741,-74.001260,40.689720,-73.998800,40.680030,-74.003441,"40.675741,-74.001260 40.676520,-74.001800 40.678170,-74.003221 40.678640,-74.003471 40.679250,-74.003600 40.679600,-74.003580 40.680030,-74.003441 40.680621,-74.003161 40.681530,-74.002730 40.687260,-73.999951 40.689240,-73.998990 40.689720,-73.998800"
4616232,155,BQE S 46TH STREET - LEONARD STREET,Brooklyn,NYC_DOT_LIC,4616232,11.81,580.0,2017-05-05T10:26:51.000,0,Normal,Heavy congestion,13,40.717720,-73.948310,40.726120,-73.930000,40.723320,-73.939170,"40.717720,-73.948310 40.718620,-73.946851 40.720160,-73.944320 40.721481,-73.942051 40.722120,-73.941121 40.722680,-73.940340 40.723320,-73.939170 40.724110,-73.937740 40.724370,-73.937211 40.724720,-73.935910 40.725460,-73.933000 40.725740,-73.932121 40.726120,-73.930000"
4616271,157,BQE S LEONARD STREET - ATLANTIC AVENUE,Brooklyn,NYC_DOT_LIC,4616271,0.0,0.0,2017-04-27T14:07:03.000,-101,No recent speed status,Severe congestion,13,40.691580,-73.999290,40.701160,-73.990000,40.697410,-73.997481,"40.691580,-73.999290 40.692210,-73.999531 40.692860,-73.999520 40.693350,-73.999361 40.694110,-73.999070 40.695080,-73.998591 40.697410,-73.997481 40.699590,-73.996440 40.699831,-73.996271 40.700220,-73.995900 40.700530,-73.995471 40.700880,-73.994900 40.701160,-73.990000"
4616318,257,GOW N 7TH AVENUE - 9TH STREET,Brooklyn,NYC_DOT_LIC,4616318,11.18,1132.0,2017-05-05T10:21:49.000,0,Normal,Heavy congestion,12,40.633391,-74.015860,40.640241,-74.021561,40.637691,-74.020311,"40.633391,-74.015860 40.634000,-74.015921 40.634450,-74.016050 40.634930,-74.016300 40.635490,-74.016831 40.636340,-74.018100 40.637691,-74.020311 40.638170,-74.020930 40.638600,-74.021270 40.639160,-74.021550 40.639710,-74.021630 40.640241,-74.021561"
4616220,258,GOW N 92ND STREET - 7TH AVENUE,Brooklyn,NYC_DOT_LIC,4616220,29.83,141.0,2017-05-05T10:26:51.000,0,Normal,Moderate traffic,9,40.616241,-74.026120,40.633360,-74.015860,40.625790,-74.018590,"40.616241,-74.026120 40.619230,-74.023610 40.623620,-74.019831 40.624841,-74.019061 40.625790,-74.018590 40.627900,-74.017721 40.630490,-74.016760 40.632390,-74.016061 40.633360,-74.015860"
4616223,259,GOW N 9TH STREET - ATLANTIC AVENUE,Brooklyn,NYC_DOT_LIC,4616223,11.18,330.0,2017-05-05T10:26:51.000,0,Normal,Heavy congestion,11,40.676430,-74.001241,40.689720,-73.990000,40.680010,-74.003320,"40.676430,-74.001241 40.677241,-74.001741 40.678360,-74.002531 40.679250,-74.003310 40.679570,-74.003410 40.680010,-74.003320 40.680581,-74.003031 40.681470,-74.002600 40.687200,-73.999811 40.689221,-73.998850 40.689720,-73.990000"
4616226,261,GOW S 7TH AVENUE - 92ND STREET,Brooklyn,NYC_DOT_LIC,4616226,47.85,90.0,2017-05-05T10:26:51.000,0,Normal,Free flow,9,40.616320,-74.026300,40.633231,-74.016151,40.625830,-74.018741,"40.616320,-74.026300 40.619280,-74.023750 40.623721,-74.019951 40.624800,-74.019250 40.625830,-74.018741 40.627951,-74.017891 40.630650,-74.016980 40.632370,-74.016321 40.633231,-74.016151"
