Link_ID,Street_Segment_Name,Borough,Sequence,Latitude,Longitude,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Label,Speed_Category
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,3,40.825191,-73.865960,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,4,40.825360,-73.864260,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,5,40.825870,-73.859610,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,6,40.826601,-73.854240,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,7,40.827181,-73.849940,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,1,40.824201,-73.874361,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,2,40.824980,-73.868411,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,3,40.825400,-73.865281,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,4,40.825910,-73.860311,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,5,40.826691,-73.854581,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616260,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,6,40.827310,-73.849980,52.2,75.0,2017-04-05T01:33:36.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,1,40.830370,-73.850620,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,2,40.829960,-73.849251,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,3,40.829461,-73.847771,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,4,40.829041,-73.846450,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,5,40.828810,-73.845230,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,6,40.828810,-73.844191,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,7,40.828980,-73.842891,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,8,40.829860,-73.838141,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,9,40.830050,-73.836841,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,10,40.830060,-73.835780,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,11,40.830021,-73.834511,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616261,BE S Griswold - Castle Hill Avenue,Bronx,12,40.830091,-73.833971,49.71,150.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,1,40.856351,-73.872330,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,2,40.852190,-73.871371,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,3,40.850070,-73.871110,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,4,40.846940,-73.871150,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,5,40.845960,-73.871311,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,6,40.842400,-73.872020,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,7,40.839610,-73.872730,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,8,40.836240,-73.873720,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,9,40.834951,-73.873900,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,10,40.833361,-73.873831,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,11,40.831970,-73.873681,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616252,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,12,40.829850,-73.873130,45.98,119.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,1,40.856280,-73.872540,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,2,40.852180,-73.871581,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,3,40.850171,-73.871451,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,4,40.848330,-73.871491,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,5,40.845851,-73.871520,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,6,40.842390,-73.872261,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,7,40.839640,-73.872910,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,8,40.836300,-73.873900,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,9,40.834951,-73.874080,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,10,40.833390,-73.874070,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,11,40.831970,-73.873921,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616266,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,12,40.829840,-73.873331,45.98,120.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,1,40.814770,-73.836290,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,2,40.816110,-73.836270,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,3,40.817840,-73.836010,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,4,40.820240,-73.835890,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,5,40.823961,-73.836070,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4616305,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,6,40.825130,-73.836240,49.71,53.0,2017-05-05T10:21:49.000,Normal,Free flow
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,1,40.814761,-73.836680,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,2,40.813540,-73.836590,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,3,40.813050,-73.836500,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,4,40.812450,-73.836380,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,5,40.811840,-73.836121,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,6,40.811100,-73.835620,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
