Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Manhattan,BBT Manhattan Portal inbound - West St N Watts St,1,13.05,13.05,13.05,422.0,2015-12-08T15:24:35.000,40.710847,-74.014553,Heavy congestion
Manhattan,BBT Manhattan Portal inbound - West St S Battery Place,1,27.96,27.96,27.96,100.0,2015-12-08T15:24:35.000,40.70606,-74.016094,Moderate traffic
Manhattan,BBT W Toll Plaza - Manhattan Portal,1,34.18,34.18,34.18,190.0,2016-12-28T09:06:29.000,40.694201,-74.011339,Moderate traffic
Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip,1,21.13,21.13,21.13,121.0,2017-05-05T10:21:51.000,40.70871,-73.997887,Moderate traffic
Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side,1,22.99,22.99,22.99,312.0,2017-05-05T10:21:49.000,40.695191,-73.990913,Moderate traffic
Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side,1,13.05,13.05,13.05,709.0,2017-05-05T10:21:49.000,40.705254,-73.911048,Heavy congestion
Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,1,29.2,29.2,29.2,82.0,2017-05-05T10:25:54.000,40.806659,-73.930489,Moderate traffic
Manhattan,FDR N 25th - 63rd St,1,29.83,29.83,29.83,228.0,2017-05-05T10:21:49.000,40.742086,-73.972087,Moderate traffic
Manhattan,FDR N Catherine Slip - 25th St,1,16.78,16.78,16.78,585.0,2017-05-05T10:21:49.000,40.717626,-73.970035,Heavy congestion
Manhattan,FDR S 25th St - Catherine Slip,1,42.25,42.25,42.25,243.0,2017-05-05T10:21:49.000,40.732696,-73.899096,Free flow
Manhattan,FDR S 63rd - 25th St,1,29.83,29.83,29.83,225.0,2017-05-05T10:21:49.000,40.755115,-73.961951,Moderate traffic
Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side,1,27.96,27.96,27.96,93.0,2017-05-05T10:21:51.000,40.708593,-73.99799,Moderate traffic
Manhattan,FDR S Catherine Slip - Whitehall St,1,8.7,8.7,8.7,156.0,2015-12-08T15:24:35.000,40.705794,-74.05547,Severe congestion
Manhattan,FDR S Whitehall St - BBT Manhattan Portal outbound,1,31.69,31.69,31.69,111.0,2015-07-15T10:56:05.000,40.703948,-74.0145,Moderate traffic
Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,1,37.28,37.28,37.28,199.0,2017-05-05T10:26:49.000,40.850255,-73.947427,Free flow
Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY,1,6.84,6.84,6.84,767.0,2017-05-05T10:26:49.000,40.761623,-74.006048,Severe congestion
Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,1,8.7,8.7,8.7,586.0,2017-05-05T10:26:49.000,40.761785,-74.006203,Severe congestion
Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ,1,3.73,3.73,3.73,1299.0,2017-05-04T23:47:51.000,40.761545,-74.006105,Severe congestion
Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ,1,29.83,29.83,29.83,166.0,2017-05-05T10:26:49.000,40.761323,-74.006393,Moderate traffic
Manhattan,QMT E Manhattan Side - Toll Plaza,1,4.97,4.97,4.97,670.0,2017-05-05T10:25:54.000,40.744063,-73.964782,Severe congestion
Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,1,16.78,16.78,16.78,141.0,2017-05-05T10:25:54.000,40.801046,-73.930302,Heavy congestion
Manhattan,West St N Whitehall - Watts St,1,8.7,8.7,8.7,866.0,2015-12-08T15:24:35.000,40.703883,-74.015297,Severe congestion
Manhattan,West St S Battery Pl - BKN Bridge Manhattan Side,1,19.26,19.26,19.26,300.0,2015-12-08T15:24:35.000,40.702453,-74.013855,Heavy congestion
Manhattan,West St S Battery Pl - FDR N Catherine Slip,1,13.05,13.05,13.05,105.0,2015-12-08T15:24:35.000,40.702955,-68.858279,Heavy congestion
Manhattan,West St S Spring St - BBT Manhattan Portal outbound,1,3.73,3.73,3.73,1511.0,2017-05-05T09:57:54.000,40.715546,-74.013634,Severe congestion
Manhattan,West St S Spring St - Battery Pl,1,13.05,13.05,13.05,779.0,2015-12-08T15:24:35.000,40.713385,-74.014252,Heavy congestion
Manhattan,West St Watts St - 11th Ave Ganesvoort,1,8.7,8.7,8.7,444.0,2015-12-08T15:24:35.000,40.733999,-74.010155,Severe congestion
Manhattan,Westside Hwy N 57th St - GWB,1,44.74,44.74,44.74,438.0,2017-05-05T10:26:50.000,40.783192,-73.986109,Free flow
Manhattan,Westside Hwy S GWB - 57th St,1,42.87,42.87,42.87,460.0,2017-05-05T10:21:51.000,40.84272,-73.946216,Free flow
Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,1,19.88,19.88,19.88,152.0,2017-05-05T10:25:54.000,40.798488,-73.922285,Heavy congestion
Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE,1,29.83,29.83,29.83,235.0,2017-05-05T10:25:54.000,40.781225,-68.778638,Moderate traffic
Queens,BWB N Queens Anchorage - Toll Plaza,1,16.78,16.78,16.78,266.0,2017-05-05T10:25:54.000,40.80853,-73.833625,Heavy congestion
Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl),1,49.09,49.09,49.09,139.0,2017-05-05T10:21:49.000,40.789668,-68.684523,Free flow
